Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
FRESH DEODRANT STICK - COTTON ,8806173433162,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,170000,20,VAT10,inclusive,,,,NK0170,,,,,
PURE SHINE LIPSTICK 03 JULIET ROSE,8806173433254,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0179,,,,,
SNAIL SOLUTION SKIN BOOSTER (C),8806173433728,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,199145,538000,20,VAT10,inclusive,,,,NK0227,,,,,
COLLAGEN DREAM 50 ALL IN ONE RADIANCE TONE UP CREAM SPF35PA++,8806173436538,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,214280,555000,20,VAT10,inclusive,,,,NK0513,,,,,
BOTANICAL GREEN TEA PORE STICK,8806173440306,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,62930,170000,20,VAT10,inclusive,,,,NJ0886,,,,,
BAMBOO CHARCOAL NOSE & T-ZONE PACK,8806173418015,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,78862,215000,100,VAT10,inclusive,,,,NM7859,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL MIST,8806173414123,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,43812,118000,20,VAT10,inclusive,,,,NM7468,,,,,
HERB BLENDING MIST,8806173439065,code128,Nature Republic,Mist,Pcs,Pcs,Pcs,86828,235000,20,VAT10,inclusive,,,,NK0763,,,,,
GINSENG ROYAL SILK AMPOULE,8806173431441,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,955894,2575000,20,VAT10,inclusive,,,,NK0011,,,,,
REAL NATURE ALOE HYDROGEL MASK ,8806173437153,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,100,VAT10,inclusive,,,,NK0573,,,,,
REAL NATURE GRAPEFRUIT HYDROGEL MASK ,8806173437191,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0577,,,,,
