Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173417025,7.576.342.313,400,,12/31/2019
8806173417032,7.576.342.313,400,,12/31/2019
8806173416967,7.576.342.313,400,,12/31/2019
8806173431892,2.389.734.141,60,,12/31/2019
8806173424344,2.389.734.141,80,,12/31/2019
8806173424351,3.584.601.211,80,,12/31/2019
8806173417018,7.576.342.313,400,,12/31/2019
8806173424887,3.982.890.234,200,,12/31/2019
8806173425815,2.389.734.141,80,,12/31/2019
8806173423798,5.257.415.109,24,,12/31/2019
8806173423804,5.257.415.109,24,,12/31/2019
8806173438297,2.628.707.555,24,,12/31/2019
8806173438310,2.628.707.555,24,,12/31/2019
8806173438303,2.628.707.555,24,,12/31/2019
8806173438822,7.009.886.813,12,,12/31/2019
8806173425686,8.682.700.711,24,,12/31/2019
8806173414123,4.381.179.258,12,,12/31/2019
8806173418015,7.886.122.664,120,,12/31/2019
8806173423552,5.257.415.109,36,,12/31/2019
8806173441990,390.323.243,80,,12/31/2019
8806173439041,3.504.943.406,24,,12/31/2019
8806173436903,5.257.415.109,27,,12/31/2019
8806173437504,7.886.122.664,24,,12/31/2019
8806173436811,5.257.415.109,27,,12/31/2019
8806173436859,5.257.415.109,27,,12/31/2019
8806173436941,5.257.415.109,27,,12/31/2019
8806173436965,5.257.415.109,27,,12/31/2019
8806173437498,7.886.122.664,24,,12/31/2019
8806173436835,5.257.415.109,27,,12/31/2019
8806173436934,5.257.415.109,27,,12/31/2019
8806173437641,7.886.122.664,24,,12/31/2019
8806173436866,5.257.415.109,27,,12/31/2019
8806173436972,5.257.415.109,27,,12/31/2019
