Product Code,Unit Cost, Quantity,Product Variant, Expiry
8806173420377,35050,6000,,12/31/2019
8806173433162,61337,32,,12/31/2019
8806173433315,70099,24,,12/31/2019
8806173434930,238974,24,,12/31/2019
8806173440955,122674,32,,12/31/2019
8806173433254,70099,16,,12/31/2019
8806173433728,199145,24,,12/31/2019
8806173433742,262871,36,,12/31/2019
8806173435999,126656,20,,12/31/2019
8806173436538,214280,16,,12/31/2019
8806173440306,62930,16,,12/31/2019
8806173436484,78862,51,,12/31/2019
8806173433278,70099,24,,12/31/2019
8806173434824,95590,25,,12/31/2019
8806173435210,150554,24,,12/31/2019
8806173436705,198348,24,,12/31/2019
8806173434381,86828,24,,12/31/2019
8806173416929,7577,480,,12/31/2019
8806173416998,7577,1040,,12/31/2019
8806173418015,78862,24,,12/31/2019
8806173424450,27881,150,,12/31/2019
8806173427307,95590,9,,12/31/2019
8806173427451,55761,31,,12/31/2019
8806173422067,54964,38,,12/31/2019
8806173418978,47795,48,,12/31/2019
8806173426409,99573,36,,12/31/2019
8806173426423,99573,48,,12/31/2019
8806173414123,43812,24,,12/31/2019
8806173425464,118691,36,,12/31/2019
8806173436149,118691,24,,12/31/2019
8806173439065,86828,32,,12/31/2019
8806173434114,7966,12,,12/31/2019
8806173435159,31864,12,,12/31/2019
8806173433674,7966,12,,12/31/2019
8806173433520,19915,6,,12/31/2019
8806173431441,955894,10,,12/31/2019
8806173437153,15543,280,,12/31/2019
8806173437191,15543,200,,12/31/2019
8806173434367,70099,23,,12/31/2019
8806173437863,150554,24,,12/31/2019
8806173437238,15543,200,,12/31/2019
8806173436699,214280,24,,12/31/2019
8806173425808,23898,160,,12/31/2019
8806173420018,525742,24,,12/31/2019
8806173429202,78862,43,,12/31/2019
8806173425853,302700,36,,12/31/2019
8806173425860,302700,36,,12/31/2019
8806173420025,438118,24,,12/31/2019
8806173428823,102759,24,,12/31/2019
8806173436668,182417,24,,12/31/2019
8806173430765,26045,12,,12/31/2019
8806173430789,55761,7,,12/31/2019
8806173432356,27881,12,,12/31/2019
8806173433827,23898,12,,12/31/2019
8806173433957,14339,12,,12/31/2019
8806173433964,11949,12,,12/31/2019
8806173434107,11949,12,,12/31/2019
8806173431458,7170,300,,12/31/2019
8806173432936,46999,64,,12/31/2019
8806173437573,159316,24,,12/31/2019
8806173434398,86828,16,,12/31/2019
8806173435005,102759,16,,12/31/2019
8806173440047,78862,28,,12/31/2019
8806173438259,118691,27,,12/31/2019
8806173434947,102759,24,,12/31/2019
8806173440894,126656,43,,12/31/2019
8806173440962,100369,32,,12/31/2019
8806173437894,198348,24,,12/31/2019
8806173433360,95590,36,,12/31/2019
8806173437207,15543,200,,12/31/2019
8806173433599,78862,27,,12/31/2019
8806173433605,75433,27,,12/31/2019
8806173437795,262871,24,,12/31/2019
