Product Code,Unit Cost, Quantity,Product Variant, Expiry
8806173436538,214280,16,,12/31/2019
8806173436484,78862,16,,12/31/2019
8806173436774,70099,8,,12/31/2019
8806173434299,238974,16,,12/31/2019
8806173424177,134622,24,,12/31/2019
8806173433155,61337,8,,12/31/2019
8806173434626,86828,8,,12/31/2019
8806173422043,54964,12,,12/31/2019
8806173418947,47795,24,,12/31/2019
8806173416332,46999,24,,12/31/2019
8806173422050,54964,12,,12/31/2019
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
