Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173420377," 35,049 ", 600 ,,12/31/2019
8806173433278," 70,099 ", 8 ,,12/31/2019
8806173414123," 43,812 ", 12 ,,12/31/2019
8806173437863," 150,553 ", 8 ,,12/31/2019
8806173437894," 198,348 ", 8 ,,12/31/2019
8806173438297," 26,287 ", 12 ,,12/31/2019
8806173437870," 150,553 ", 8 ,,12/31/2019
8806173423576," 78,861 ", 12 ,,12/31/2019
8806173434206," 78,861 ", 12 ,,12/31/2019
8806173439041," 35,049 ", 12 ,,12/31/2019
8806173424672," 78,861 ", 12 ,,12/31/2019
8806173435753," 79,658 ", 8 ,,12/31/2019
8806173437887," 198,348 ", 8 ,,12/31/2019
8806173425211," 23,897 ", 40 ,,12/31/2019
