Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173420377,35049.43406,2388,,12/31/2019
8806173416929,7576.342313,400,,12/31/2019
8806173416998,7576.342313,400,,12/31/2019
8806173437153,15542.12278,80,,12/31/2019
8806173437191,15542.12278,80,,12/31/2019
8806173437238,15542.12278,80,,12/31/2019
8806173425808,23897.34141,80,,12/31/2019
8806173437207,15542.12278,80,,12/31/2019
8806173424368,35846.01211,80,,12/31/2019
8806173424870,15931.56094,100,,12/31/2019
8806173437214,15542.12278,80,,12/31/2019
8806173416974,7576.342313,400,,12/31/2019
8806173417094,7576.342313,400,,12/31/2019
8806173437221,15542.12278,80,,12/31/2019
8806173417049,7576.342313,400,,12/31/2019
8806173424436,39828.90234,80,,12/31/2019
8806173437245,15542.12278,80,,12/31/2019
8806173424894,27880.23164,60,,12/31/2019
8806173417025,7576.342313,400,,12/31/2019
8806173417032,7576.342313,400,,12/31/2019
8806173417063,7576.342313,400,,12/31/2019
8806173417100,7576.342313,400,,12/31/2019
8806173416967,7576.342313,400,,12/31/2019
8806173416981,7576.342313,400,,12/31/2019
8806173431892,23897.34141,60,,12/31/2019
8806173424344,23897.34141,80,,12/31/2019
8806173424351,35846.01211,80,,12/31/2019
8806173417018,7576.342313,400,,12/31/2019
8806173424887,3982.890234,200,,12/31/2019
8806173425815,23897.34141,80,,12/31/2019
8806173423798,52574.15109,24,,12/31/2019
8806173423804,52574.15109,24,,12/31/2019
8806173438297,26287.07555,24,,12/31/2019
8806173438310,26287.07555,24,,12/31/2019
8806173438303,26287.07555,24,,12/31/2019
8806173438822,70098.86813,12,,12/31/2019
8806173425686,86827.00711,24,,12/31/2019
8806173414123,43811.79258,12,,12/31/2019
8806173418015,78861.22664,120,,12/31/2019
8806173423552,52574.15109,36,,12/31/2019
8806173441990,39032.3243,80,,12/31/2019
8806173439041,35049.43406,24,,12/31/2019
8806173436903,52574.15109,27,,12/31/2019
8806173437504,78861.22664,24,,12/31/2019
8806173436811,52574.15109,27,,12/31/2019
8806173436859,52574.15109,27,,12/31/2019
8806173436941,52574.15109,27,,12/31/2019
8806173436965,52574.15109,27,,12/31/2019
8806173437498,78861.22664,24,,12/31/2019
8806173436835,52574.15109,27,,12/31/2019
8806173436934,52574.15109,27,,12/31/2019
8806173437641,78861.22664,24,,12/31/2019
8806173436866,52574.15109,27,,12/31/2019
8806173436972,52574.15109,27,,12/31/2019
