Product Code, Unit Cost , Quantity,Product Variant, Expiry
8.80617E+12,3.504.943.406,1588,,12/31/2019
8.80617E+12,7.576.342.313,335,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,2.389.734.141,80,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,3.584.601.211,80,,12/31/2019
8.80617E+12,1.593.156.094,100,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,3.982.890.234,80,,12/31/2019
8.80617E+12,1.554.212.278,80,,12/31/2019
8.80617E+12,2.788.023.164,60,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,2.389.734.141,60,,12/31/2019
8.80617E+12,2.389.734.141,80,,12/31/2019
8.80617E+12,3.584.601.211,80,,12/31/2019
8.80617E+12,7.576.342.313,400,,12/31/2019
8.80617E+12,3.982.890.234,200,,12/31/2019
8.80617E+12,2.389.734.141,80,,12/31/2019
8.80617E+12,5.257.415.109,24,,12/31/2019
8.80617E+12,5.257.415.109,24,,12/31/2019
8.80617E+12,2.628.707.555,24,,12/31/2019
8.80617E+12,2.628.707.555,24,,12/31/2019
8.80617E+12,2.628.707.555,24,,12/31/2019
8.80617E+12,7.009.886.813,12,,12/31/2019
8.80617E+12,8.682.700.711,24,,12/31/2019
8.80617E+12,4.381.179.258,12,,12/31/2019
8.80617E+12,7.886.122.664,120,,12/31/2019
8.80617E+12,5.257.415.109,36,,12/31/2019
8.80617E+12,390.323.243,80,,12/31/2019
8.80617E+12,3.504.943.406,24,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,7.886.122.664,24,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,7.886.122.664,24,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,7.886.122.664,24,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
8.80617E+12,5.257.415.109,27,,12/31/2019
