Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173434381,86827.00711,9,,12/31/2019
8806173424450,27880.23164,5,,12/31/2019
8806173427451,55760.46328,8,,12/31/2019
8806173431441,955893.6563,5,,12/31/2019
8806173434367,70098.86813,4,,12/31/2019
8806173425853,302699.6578,12,,12/31/2019
8806173425860,302699.6578,12,,12/31/2019
8806173428823,102758.568,12,,12/31/2019
8806173431458,7169.202422,40,,12/31/2019
8806173437573,159315.6094,8,,12/31/2019
8806173431168,43811.79258,12,,12/31/2019
8806173431175,43811.79258,12,,12/31/2019
8806173424924,111520.9266,12,,12/31/2019
8806173440696,54963.88523,8,,12/31/2019
8806173424146,118690.129,6,,12/31/2019
8806173423385,55760.46328,15,,12/31/2019
8806173420513,119486.707,4,,12/31/2019
8806173436620,118690.129,8,,12/31/2019
8806173424917,111520.9266,12,,12/31/2019
8806173421626,79657.80469,8,,12/31/2019
8806173441631,119486.707,8,,12/31/2019
8806173423354,55760.46328,15,,12/31/2019
8806173423392,55760.46328,3,,12/31/2019
8806173420858,63726.24375,12,,12/31/2019
8806173420889,63726.24375,12,,12/31/2019
8806173439133,78861.22664,5,,12/31/2019
8806173439140,78861.22664,3,,12/31/2019
8806173439157,78861.22664,3,,12/31/2019
8806173440689,54963.88523,8,,12/31/2019
8806173423323,55760.46328,3,,12/31/2019
8806173423361,55760.46328,15,,12/31/2019
8806173423378,55760.46328,3,,12/31/2019
8806173420841,63726.24375,12,,12/31/2019
8806173420865,63726.24375,12,,12/31/2019
8806173420872,63726.24375,12,,12/31/2019
8806173420896,63726.24375,12,,12/31/2019
8806173441624,119486.707,7,,12/31/2019
8806173441648,119486.707,8,,12/31/2019
8806173441662,119486.707,8,,12/31/2019
8806173436590,118690.129,8,,12/31/2019
8806173416370,44954.70891,12,,12/31/2019
8806173423330,55760.46328,3,,12/31/2019
8806173423347,55760.46328,15,,12/31/2019
8806173416363,46998.10477,12,,12/31/2019
