Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173436897 ,52575,18,,12/31/2019
8806173436866 ,52575,45,,12/31/2019
8806173437504 ,78862,19,,12/31/2019
8806173437498 ,78862,8,,12/31/2019
8806173437641 ,78862,2,,12/31/2019
8806173436972 ,52575,18,,12/31/2019
8806173437535 ,78862,9,,12/31/2019
8806173436873 ,52575,2,,12/31/2019
8806173436859 ,52575,36,,12/31/2019
8806173436910 ,52575,18,,12/31/2019
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
