Product Code, Unit Cost , Quantity,Product Variant, Expiry
8806173417025,7.576.342.313,400,,12/31/2019
8806173417032,7.576.342.313,400,,12/31/2019
8806173416967,7.576.342.313,400,,12/31/2019
8806173424344,2.389.734.141,80,,12/31/2019
8806173424351,3.584.601.211,80,,12/31/2019
8806173417018,7.576.342.313,400,,12/31/2019
8806173424887,3.982.890.234,200,,12/31/2019
8806173425815,2.389.734.141,80,,12/31/2019
8806173438822,7.009.886.813,12,,12/31/2019
8806173425686,8.682.700.711,24,,12/31/2019
8806173418015,7.886.122.664,120,,12/31/2019
8806173439041,3.504.943.406,24,,12/31/2019
8806173436972,5.257.415.109,27,,12/31/2019
