Product Code,Unit Cost, Quantity,Product Variant, Expiry
8806173424573,86993,200,,12/31/2019
8806173424566,79012,200,,12/31/2019
8806173429233,47886,200,,12/31/2019
8806173427260,95772,200,,12/31/2019
8806173427321,95772,200,,12/31/2019
8806173424580,86993,200,,12/31/2019
8806173423804,71031,200,,12/31/2019
8806173423781,71031,200,,12/31/2019
8806173424559,79012,200,,12/31/2019
8806173423231,119715,200,,12/31/2019
8806173425860,303279,200,,12/31/2019
8806173420513,119715,200,,12/31/2019
8806173427307,95772,200,,12/31/2019
8806173433155,61454,200,,12/31/2019
8806173425877,526748,200,,12/31/2019
8806173425471,118917,200,,12/31/2019
8806173425488,199526,200,,12/31/2019
8806173426430,99763,200,,12/31/2019
8806173428687,119715,200,,12/31/2019
8806173423866,47088,200,,12/31/2019
8806173426423,99763,200,,12/31/2019
8806173425853,303279,200,,12/31/2019
8806173431441,957724,200,,12/31/2019
8806173425464,118917,200,,12/31/2019
8806173425495,134879,200,,12/31/2019
8806173424146,118917,200,,12/31/2019
8806173426454,99763,200,,12/31/2019
8806173426409,99763,200,,12/31/2019
8806173419586,55069,200,,12/31/2019
8806173434831,95772,200,,12/31/2019
8806173422234,95772,200,,12/31/2019
8806173425600,61454,200,,12/31/2019
8806173428823,102955,200,,12/31/2019
8806173425204,19953,200,,12/31/2019
8806173419203,79012,200,,12/31/2019
8806173430260,79012,200,,12/31/2019
8806173424962,79012,200,,12/31/2019
8806173422166,95772,200,,12/31/2019
8806173425617,70233,200,,12/31/2019
8806173423576,79012,200,,12/31/2019
8806173429196,79012,200,,12/31/2019
8806173436149,118917,200,,12/31/2019
8806173438914,35117,200,,12/31/2019
8806173422227,95772,200,,12/31/2019
8806173424979,63050,200,,12/31/2019
8806173412334,79012,200,,12/31/2019
8806173426379,119715,200,,12/31/2019
8806173424986,55069,200,,12/31/2019
8806173420032,95772,200,,12/31/2019
8806173420698,70233,200,,12/31/2019
8806173419555,79012,200,,12/31/2019
8806173425525,166804,200,,12/31/2019
8806173424351,35915,200,,12/31/2019
8806173419715,61454,200,,12/31/2019
8806173424443,39905,200,,12/31/2019
